timestamp;tagname;value;quality
23/02/2019 14:50:01;067_PI01;0;0
23/02/2019 14:50:01;067_PI02;0;0
23/02/2019 14:50:01;067_SI01;0;0
23/02/2019 14:50:01;067_TI01;0;0
23/02/2019 14:50:01;068_PI01;14.2987996735737;100
23/02/2019 14:50:01;068_PI02;0;100
23/02/2019 14:50:01;068_SI01;0;100
23/02/2019 14:50:01;068_TI01;20.2240182845891;100
23/02/2019 14:50:01;139_PI01;0;0
23/02/2019 14:50:01;139_PI02;0;0
23/02/2019 14:50:01;139_SI01;0;0
23/02/2019 14:50:01;139_TI01;0;0
23/02/2019 14:50:01;1C08.P1_TC01;18.639226947062;100
23/02/2019 14:50:01;1C08.P1_TC02;18.54070292626;100
23/02/2019 14:50:01;1C08.P1_TC03;0;100
23/02/2019 14:50:01;1C08.P1_TC04;0;100
23/02/2019 14:50:01;1C08.S1_TC01;0;100
23/02/2019 14:50:01;1C08.S1_TC02;0;100
23/02/2019 14:50:01;1C08.S1_TC03;23.2660902314281;100
23/02/2019 14:50:01;1C08.S1_TC04;0;100
23/02/2019 14:50:01;1C08.S2_TC01;0;100
23/02/2019 14:50:01;1C08.S2_TC02;0;100
23/02/2019 14:50:01;1C08.S2_TC03;0;100
23/02/2019 14:50:01;1C08.S2_TC04;19.8907013367065;100
23/02/2019 14:50:01;1C11.FE01;-5.09887554684307E-04;100
23/02/2019 14:50:01;1C11.TE01;0;100
23/02/2019 14:50:01;1C11.TE02;0;100
23/02/2019 14:50:01;1C11.TE03;20.3857925527414;100
23/02/2019 14:50:01;1C11.TE04;20.5677398445996;100
23/02/2019 14:50:01;1C11.TE05;20.7033759921073;100
23/02/2019 14:50:01;1C11.TE06;20.5502809959042;100
23/02/2019 14:50:01;1C11.TE07;21.6016762506365;100
23/02/2019 14:50:01;1C11.TE08;21.2977183788474;100
23/02/2019 14:50:01;1C11.TE09;21.2060072278945;100
23/02/2019 14:50:01;1C11.TE10;20.6018369302051;100
23/02/2019 14:50:01;1C11.TE11;-176.33483118817;100
23/02/2019 14:50:01;1C11.TE18;22.6648332859341;100
23/02/2019 14:50:01;1C11.TE19;22.5731484734042;100
23/02/2019 14:50:01;1C11.TE20;22.5388731563707;100
23/02/2019 14:50:01;1C11.TE21;0;100
23/02/2019 14:50:01;1C11.TE22;0;100
23/02/2019 14:50:01;1C12.TE01;0;0
23/02/2019 14:50:01;1C12.TE02;0;0
23/02/2019 14:50:01;1C12.TE03;0;0
23/02/2019 14:50:01;1C12.TE04;0;0
23/02/2019 14:50:01;1C12.TE05;0;0
23/02/2019 14:50:01;1C12.TE06;0;0
23/02/2019 14:50:01;1C12.TE07;0;0
